primaryTitle,startYear,runtimeMinutes,Genre,averageRating,numVotes,runtimeBucket
NULL,2025,\N,Horror,6.4,80,
# 1 Fan,2024,\N,Comedy,2.8,11,
# 1 Fan,2024,\N,Thriller,2.8,11,
#1915House,2018,55,Horror,3.2,29,<90 min
#1915House,2018,55,Thriller,3.2,29,<90 min
#300Letters,2025,91,Comedy,5.8,104,90-119 min
#300Letters,2025,91,Romance,5.8,104,90-119 min
#69 Samskar Colony,2022,126,Romance,6,619,120-149 min
#AAY,2024,142,Comedy,6.4,867,120-149 min
#AAY,2024,142,Drama,6.4,867,120-149 min
#AAY,2024,142,Romance,6.4,867,120-149 min
#Alive,2020,98,Action,6.3,55736,90-119 min
#Alive,2020,98,Drama,6.3,55736,90-119 min
#Alive,2020,98,Horror,6.3,55736,90-119 min
#AMFAD: All My Friends Are Dead,2024,91,Horror,4.5,1533,90-119 min
#AMFAD: All My Friends Are Dead,2024,91,Mystery,4.5,1533,90-119 min
#AMFAD: All My Friends Are Dead,2024,91,Thriller,4.5,1533,90-119 min
#Anne Frank Parallel Stories,2019,92,Documentary,6.5,1829,90-119 min
#Anne Frank Parallel Stories,2019,92,Drama,6.5,1829,90-119 min
#Anne Frank Parallel Stories,2019,92,History,6.5,1829,90-119 min
#BigFertility: It's All About The Money,2018,46,Documentary,6.4,19,<90 min
#Blessed,2020,75,Documentary,4.7,14,<90 min
#Blue_Whale,2021,91,Drama,4.9,525,90-119 min
#Blue_Whale,2021,91,Horror,4.9,525,90-119 min
#Blue_Whale,2021,91,Mystery,4.9,525,90-119 min
#Bodygoals,2018,\N,Comedy,4.8,11,
#Captured,2017,81,Horror,3.1,1047,<90 min
#Captured,2017,81,Thriller,3.1,1047,<90 min
#ChadGetstheAxe,2022,83,Comedy,5.6,1065,<90 min
#ChadGetstheAxe,2022,83,Horror,5.6,1065,<90 min
#CoEdConfessions,2017,61,Comedy,5.1,19,<90 min
#CoEdConfessions,2017,61,Romance,5.1,19,<90 min
#Comicsgate - How to Kill a Movement,2024,127,Documentary,6.2,9,120-149 min
#DigitalLivesMatter,2016,93,Comedy,6.2,61,90-119 min
#DoYouThinkIAmSexy?,2022,106,Crime,4.1,457,90-119 min
#DoYouThinkIAmSexy?,2022,106,Drama,4.1,457,90-119 min
#DoYouThinkIAmSexy?,2022,106,Mystery,4.1,457,90-119 min
#FamilyMan,2024,125,Drama,6.3,10,120-149 min
#FBF,2023,83,Drama,5.2,110,<90 min
#FBF,2023,83,Family,5.2,110,<90 min
#Female Pleasure,2018,101,Documentary,7.5,716,90-119 min
#Float,2022,76,Horror,2.6,678,<90 min
#Followme,2019,90,Horror,3.6,745,90-119 min
#Followme,2019,90,Thriller,3.6,745,90-119 min
#FriendButMarried 2,2020,100,Biography,6.8,435,90-119 min
#FriendButMarried 2,2020,100,Comedy,6.8,435,90-119 min
#FriendButMarried 2,2020,100,Drama,6.8,435,90-119 min
#FriendsButMarried,2018,102,Biography,6.7,890,90-119 min
#FriendsButMarried,2018,102,Comedy,6.7,890,90-119 min
#FriendsButMarried,2018,102,Drama,6.7,890,90-119 min
#HandballStrive,2020,109,Drama,5.6,63,90-119 min
#HandballStrive,2020,109,Sport,5.6,63,90-119 min
#HatersMakeMeFamous,2019,91,Documentary,7.7,22,90-119 min
#Home,2021,158,Drama,8.7,19933,150-179 min
